"Time Series 1 = CellDef_1.Attractant (Concentration)",,,,,,,,,,
"Time","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 2","Time Series 2","Time Series 2","Time Series 2","Time Series 2"
13.35,0.05,0.27,0.44,0.38,0.57,0,0.05,0.05,0.05,0.05
13.4,0.05,0.27,0.44,0.38,0.57,0,0.05,0.05,0.05,0.05
13.45,0.05,0.28,0.44,0.38,0.57,0,0.05,0.05,0.05,0.05
13.5,0.05,0.28,0.44,0.38,0.57,0,0.05,0.05,0,0.05
13.55,0.05,0.28,0.44,0.38,0.57,0,0.05,0.05,0,0.05
13.6,0.05,0.28,0.44,0.38,0.57,0.05,0.05,0.05,0,0.05
13.65,0.05,0.28,0.44,0.38,0.58,0.05,0.05,0.05,0,0.05
13.7,0.05,0.28,0.44,0.38,0.58,0.05,0.05,0.05,0,0.05
13.75,0.05,0.28,0.44,0.38,0.58,0.05,0.05,0.05,0,0.05
13.8,0.05,0.28,0.45,0.38,0.58,0.05,0.05,0.05,0,0.05
13.85,0.05,0.28,0.45,0.38,0.58,0.05,0.05,0.05,0,0.05
13.9,0.05,0.28,0.45,0.38,0.58,0.05,0.05,0.05,0,0.05
13.95,0.05,0.28,0.45,0.38,0.58,0.05,0.05,0.05,0,0.05
14,0.05,0.29,0.45,0.38,0.58,0.05,0.05,0.05,0,0.05
14.05,0.05,0.29,0.45,0.38,0.58,0.05,0.05,0.05,0,0.05
14.1,0.05,0.29,0.45,0.38,0.58,0.05,0.05,0.05,0,0.05
14.15,0.05,0.29,0.45,0.38,0.59,0.05,0.05,0.05,0,0.05
14.2,0.05,0.29,0.45,0.38,0.59,0.05,0.05,0.05,0,0.05
14.25,0.05,0.29,0.45,0.38,0.59,0.05,0.05,0.05,0,0.05
14.3,0.05,0.29,0.45,0.38,0.59,0.05,0.05,0.05,0,0.05
14.35,0.05,0.29,0.45,0.38,0.59,0.05,0.05,0.05,0,0.05
14.4,0.05,0.29,0.46,0.38,0.59,0.05,0.05,0.05,0,0.05
14.45,0.05,0.29,0.46,0.38,0.59,0.05,0.05,0.05,0,0.05
14.5,0.05,0.29,0.46,0.38,0.59,0.05,0.05,0.05,0,0.05
14.55,0.05,0.3,0.46,0.38,0.59,0.05,0.05,0.05,0,0.05
14.6,0.05,0.3,0.46,0.38,0.6,0.05,0.05,0.05,0,0.05
14.65,0.05,0.3,0.46,0.38,0.6,0.05,0.05,0.05,0,0.05
14.7,0.05,0.3,0.46,0.38,0.6,0.05,0.05,0.05,0,0.05
14.75,0.05,0.3,0.46,0.38,0.6,0.05,0.05,0.05,0,0.05
14.8,0.05,0.3,0.46,0.38,0.6,0.05,0.05,0.05,0,0.05
14.85,0.05,0.3,0.46,0.38,0.6,0.05,0.05,0.05,0,0.05
14.9,0.05,0.3,0.46,0.38,0.6,0.05,0.05,0.05,0,0.05
14.95,0.05,0.3,0.46,0.38,0.6,0.05,0.05,0.05,0,0.05
15,0.05,0.3,0.47,0.38,0.6,0.05,0.05,0.05,0,0.05
15.05,0.05,0.3,0.47,0.38,0.61,0.05,0.05,0.05,0,0.05
15.1,0.05,0.31,0.47,0.38,0.61,0.05,0.05,0.05,0,0.05
15.15,0.05,0.31,0.47,0.38,0.61,0.05,0.05,0.05,0,0.05
15.2,0.05,0.31,0.47,0.38,0.61,0.05,0.05,0.05,0,0.05
15.25,0.05,0.31,0.47,0.38,0.61,0.05,0.05,0.05,0,0.05
15.3,0.05,0.31,0.47,0.38,0.61,0.05,0.05,0.05,0,0.05
15.35,0.05,0.31,0.47,0.38,0.61,0.05,0.05,0.05,0,0.05
15.4,0.05,0.31,0.47,0.38,0.61,0.05,0.05,0.05,0.05,0.05
15.45,0.05,0.31,0.47,0.38,0.62,0.05,0.05,0.05,0.05,0.05
15.5,0.05,0.31,0.47,0.38,0.62,0.05,0.05,0.05,0.05,0.05
15.55,0.05,0.31,0.47,0.38,0.62,0.05,0.05,0.05,0.05,0.05
