Time Series 6 = CellDef_1.Attractant (Concentration)
Time Series 7 = CellDef_2.Attractant (Concentration)
Time Series 8 = CellDef_3.Attractant (Concentration)
Time Series 9 = CellDef_4.Attractant (Concentration)
Time Series 10 = CellDef_5.Attractant (Concentration)

Time,Time Series 6,Time Series 7,Time Series 8,Time Series 9,Time Series 10
4.44,0.1831628680,0.3245692730,0.2113591909,0.2390714407,0.2670912504
4.46,0.1831430316,0.3246535778,0.2114106417,0.2390582323,0.2671174049
4.48,0.1831232548,0.3247378349,0.2114619970,0.2390459299,0.2671435833
4.50,0.1831033587,0.3248223305,0.2115132570,0.2390341520,0.2671699762
4.52,0.1830834746,0.3249065638,0.2115645409,0.2390232325,0.2671961546
4.54,0.1830636621,0.3249909878,0.2116157055,0.2390128851,0.2672222614
4.56,0.1830437899,0.3250754118,0.2116668940,0.2390032053,0.2672484636
4.58,0.1830239058,0.3251596689,0.2117180824,0.2389940739,0.2672745943
4.60,0.1830039620,0.3252440453,0.2117691278,0.2389855146,0.2673008919
4.62,0.1829840064,0.3253283024,0.2118201256,0.2389774799,0.2673269510
4.64,0.1829641342,0.3254124880,0.2118712902,0.2389699221,0.2673530102
4.66,0.1829441309,0.3254967213,0.2119222879,0.2389627934,0.2673792362
4.68,0.1829242349,0.3255811691,0.2119731426,0.2389562130,0.2674052000
4.70,0.1829041481,0.3256654263,0.2120239258,0.2389498711,0.2674312830
4.72,0.1828842282,0.3257498026,0.2120748043,0.2389439583,0.2674574137
4.74,0.1828641653,0.3258339643,0.2121257305,0.2389384508,0.2674834251
4.76,0.1828441024,0.3259180784,0.2121764421,0.2389332056,0.2675094366
4.78,0.1828240633,0.3260022402,0.2122272491,0.2389283180,0.2675354481
4.80,0.1828040361,0.3260862827,0.2122780323,0.2389237165,0.2675615311
4.82,0.1827839971,0.3261706114,0.2123286963,0.2389194250,0.2675874233
4.84,0.1827638984,0.3262547731,0.2123792648,0.2389153481,0.2676133394
4.86,0.1827437520,0.3263386965,0.2124297857,0.2389115572,0.2676394463
4.88,0.1827236176,0.3264226437,0.2124803543,0.2389078856,0.2676652908
4.90,0.1827034831,0.3265069008,0.2125307798,0.2389045000,0.2676911592
4.92,0.1826833725,0.3265908241,0.2125811815,0.2389013290,0.2677169323
4.94,0.1826632380,0.3266747475,0.2126316547,0.2388983488,0.2677429199
4.96,0.1826431036,0.3267587423,0.2126818180,0.2388955116,0.2677687407
4.98,0.1826228380,0.3268426895,0.2127320290,0.2388929367,0.2677945137
5.00,0.1826026678,0.3269265413,0.2127823114,0.2388903856,0.2678203344
5.02,0.1825824618,0.3270103455,0.2128324986,0.2388880253,0.2678461075
5.04,0.1825622559,0.3270940065,0.2128825426,0.2388858318,0.2678719044
5.06,0.1825420260,0.3271779776,0.2129326344,0.2388836861,0.2678975344
5.08,0.1825217128,0.3272617102,0.2129826784,0.2388818026,0.2679231882
5.10,0.1825014710,0.3273452520,0.2130325794,0.2388799906,0.2679488420
5.12,0.1824812293,0.3274291515,0.2130824804,0.2388781309,0.2679746151
5.14,0.1824608684,0.3275127649,0.2131322384,0.2388765812,0.2680002689
5.16,0.1824405551,0.3275961876,0.2131820202,0.2388750076,0.2680259705
5.18,0.1824203014,0.3276797056,0.2132318258,0.2388735533,0.2680514812
5.20,0.1823999286,0.3277633190,0.2132813215,0.2388722897,0.2680770636
5.22,0.1823796153,0.3278468609,0.2133309603,0.2388710022,0.2681026936
5.24,0.1823592186,0.3279302835,0.2133805037,0.2388697147,0.2681281090
5.26,0.1823388219,0.3280137062,0.2134300947,0.2388686657,0.2681534767
5.28,0.1823184371,0.3280969858,0.2134793997,0.2388676643,0.2681790352
5.30,0.1822980165,0.3281804085,0.2135287762,0.2388665438,0.2682044744
5.32,0.1822775841,0.3282636166,0.2135780096,0.2388656378,0.2682299137
5.34,0.1822571635,0.3283468723,0.2136273146,0.2388647556,0.2682551861
5.36,0.1822367072,0.3284299612,0.2136765003,0.2388638973,0.2682806253
5.38,0.1822162867,0.3285131454,0.2137255430,0.2388630390,0.2683059454
5.40,0.1821957707,0.3285961151,0.2137745619,0.2388623714,0.2683312178
5.42,0.1821752667,0.3286789894,0.2138235092,0.2388617039,0.2683565617
5.44,0.1821548462,0.3287620783,0.2138724804,0.2388611555,0.2683818102
5.46,0.1821343064,0.3288449526,0.2139212847,0.2388604879,0.2684069395
5.48,0.1821138024,0.3289278746,0.2139701366,0.2388599157,0.2684321404
5.50,0.1820932508,0.3290106773,0.2140187502,0.2388592243,0.2684572220
5.52,0.1820726991,0.3290934086,0.2140675068,0.2388588428,0.2684823751
5.54,0.1820521593,0.3291761875,0.2141160727,0.2388583660,0.2685074329
5.56,0.1820315599,0.3292588234,0.2141644716,0.2388577700,0.2685325623
5.58,0.1820109248,0.3293412209,0.2142129660,0.2388573408,0.2685576677
5.60,0.1819904327,0.3294238329,0.2142612934,0.2388569117,0.2685825586
5.62,0.1819698215,0.3295062780,0.2143095970,0.2388566256,0.2686075926
5.64,0.1819492698,0.3295888186,0.2143579245,0.2388561726,0.2686325312
5.66,0.1819287062,0.3296710014,0.2144060612,0.2388557434,0.2686572790
5.68,0.1819078565,0.3297532082,0.2144541025,0.2388555050,0.2686823130
5.70,0.1818873405,0.3298355103,0.2145020962,0.2388551950,0.2687070847
5.72,0.1818666577,0.3299176693,0.2145502090,0.2388548613,0.2687318325
5.74,0.1818460703,0.3299997807,0.2145981312,0.2388546228,0.2687566280
5.76,0.1818253994,0.3300818443,0.2146458864,0.2388544083,0.2687813044
5.78,0.1818046808,0.3301639557,0.2146936655,0.2388541460,0.2688060760
5.80,0.1817840576,0.3302455902,0.2147413492,0.2388539076,0.2688308716
5.82,0.1817633033,0.3303276300,0.2147888660,0.2388536930,0.2688555479
5.84,0.1817426682,0.3304093361,0.2148364067,0.2388533831,0.2688799620
5.86,0.1817219257,0.3304910898,0.2148838520,0.2388533115,0.2689045429
5.88,0.1817011356,0.3305725813,0.2149312019,0.2388530731,0.2689291477
5.90,0.1816805005,0.3306543827,0.2149785280,0.2388529062,0.2689536095
5.92,0.1816597104,0.3307356119,0.2150257826,0.2388526917,0.2689780712
5.94,0.1816389441,0.3308169365,0.2150729656,0.2388525248,0.2690023899
5.96,0.1816182017,0.3308984041,0.2151200533,0.2388524055,0.2690267086
5.98,0.1815974474,0.3309797764,0.2151670456,0.2388522625,0.2690510988
6.00,0.1815766573,0.3310609818,0.2152139425,0.2388520956,0.2690754652
6.02,0.1815559506,0.3311420679,0.2152607679,0.2388526917,0.2690996170
6.04,0.1815350890,0.3312230349,0.2153075695,0.2388540745,0.2691239119
6.06,0.1815142989,0.3313040733,0.2153542757,0.2388559580,0.2691480637
6.08,0.1814948440,0.3313848257,0.2154009819,0.2388585091,0.2691722631
6.10,0.1814764261,0.3314657450,0.2154473782,0.2388616085,0.2691963673
6.12,0.1814591408,0.3315464735,0.2154939413,0.2388653994,0.2692202568
6.14,0.1814428568,0.3316271067,0.2155402422,0.2388696432,0.2692444324
6.16,0.1814276934,0.3317077637,0.2155865431,0.2388743162,0.2692684174
6.18,0.1814134002,0.3317882776,0.2156326771,0.2388795137,0.2692924023
6.20,0.1813999534,0.3318686724,0.2156790257,0.2388849974,0.2693161964
6.22,0.1813873291,0.3319489717,0.2157250166,0.2388910770,0.2693399906
6.24,0.1813754797,0.3320291281,0.2157710075,0.2388974667,0.2693638325
6.26,0.1813642979,0.3321093082,0.2158168793,0.2389042139,0.2693876505
6.28,0.1813538074,0.3321894646,0.2158627033,0.2389113188,0.2694113255
6.30,0.1813440800,0.3322695017,0.2159083843,0.2389188051,0.2694350958
6.32,0.1813348055,0.3323493242,0.2159540415,0.2389264345,0.2694586277
6.34,0.1813261151,0.3324291945,0.2159996510,0.2389344215,0.2694823027
6.36,0.1813179851,0.3325088501,0.2160451889,0.2389427185,0.2695058823
6.38,0.1813103080,0.3325886250,0.2160906076,0.2389512062,0.2695294380
6.40,0.1813030839,0.3326680899,0.2161358356,0.2389599323,0.2695528269
6.42,0.1812963963,0.3327474594,0.2161812067,0.2389688969,0.2695764065
6.44,0.1812901020,0.3328267574,0.2162262440,0.2389780760,0.2695995569
6.46,0.1812841177,0.3329061747,0.2162713051,0.2389874697,0.2696229696
6.48,0.1812785625,0.3329851866,0.2163163662,0.2389971018,0.2696463108
6.50,0.1812733650,0.3330642700,0.2163612843,0.2390068531,0.2696696043
6.52,0.1812684536,0.3331434011,0.2164060593,0.2390167475,0.2696926832
6.54,0.1812638640,0.3332222223,0.2164508581,0.2390267849,0.2697158813
6.56,0.1812595248,0.3333011389,0.2164955139,0.2390371799,0.2697390079
6.58,0.1812554598,0.3333797216,0.2165401220,0.2390474558,0.2697619200
6.60,0.1812516689,0.3334585190,0.2165845156,0.2390580416,0.2697850704
6.62,0.1812481046,0.3335369349,0.2166289330,0.2390686750,0.2698079348
6.64,0.1812448502,0.3336153030,0.2166732311,0.2390794277,0.2698309660
6.66,0.1812416553,0.3336935520,0.2167174816,0.2390904427,0.2698537588
6.68,0.1812387228,0.3337719202,0.2167616129,0.2391013145,0.2698766708
6.70,0.1812361121,0.3338499308,0.2168057203,0.2391125917,0.2698993921
6.72,0.1812335014,0.3339278460,0.2168497086,0.2391237259,0.2699220896
